"b_cost","meanasc_1","mean_wqhuc8","mean_wqhuc4","mean_wmed","mean_wlar","mean_wq4nl","mean_wmednl","sigmaasc_1","sigma_wqhuc8","sigma_wqhuc4","sigma_wmed","sigma_wlar","sigma_wq4nl","sigma_wmednl","logLike"
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-14262.0085697591
-0.000267286716820743,0.948038814352051,-0.0147555342802022,0.00288646703358368,0.0102643122631193,0.0262203422379648,0.0817627942156771,0.0673912303293123,-0.00345878874572321,-0.496761369948446,0.212293176853812,0.255866865720629,-0.55858851109315,0.922693417878316,0.318014004804647,-13037.2952628168
-0.0011929407957748,0.783643001143296,-0.241112526228463,-0.232837345034599,-0.192514528003734,-0.166089910197276,-0.138723019745833,-0.305509305981314,-0.222255050244263,-0.655293394174232,0.452700041361281,0.306831546111583,-0.510934198054886,0.97349923598761,0.764088691708921,-11795.7857231805
-0.00239047273816002,0.630291676342574,-0.484561522626433,-0.487081700254991,-0.40622886963608,-0.368954576077661,-0.434128716414732,-0.695224763334819,-0.245077798152989,-0.83074020069414,0.595565855861209,0.33024403720728,-0.457057277658294,1.08412327969523,1.1547005173978,-10911.3985126221
-0.0045800832769286,0.511851683323909,-0.648441191729496,-0.938578639956208,-0.834499237114559,-0.758222258530401,-0.738418602393994,-1.16130100813577,-0.657820442516749,-1.00271142069706,0.677301450695479,0.122268609406976,-0.133232176801874,1.03627236240265,1.57401906355066,-9928.65510156843
-0.00802547096341154,0.469974307316511,-0.790283943915868,-1.43884124632753,-1.26946245720392,-1.39391147259943,-1.04071114260386,-1.53985038060741,-1.3410407313644,-1.13968285384374,0.60933307713085,-2.81969192385577,-1.2152865208465,1.0981407752598,1.9621202045863,-9707.60187477134
-0.00724611340054314,0.34200592576873,-0.818038624849246,-1.13705197547072,-1.71429452168987,-1.0933883577437,-0.950716640646157,-1.13930623997961,-1.52018085904991,-1.09696266492804,0.78214621786417,-0.222604194403808,-0.790270282948858,0.878125086799436,1.70501925882948,-9561.60632175842
-0.0067154481391094,0.252438780761901,-0.775305189146269,-1.12165564524012,-1.16239432363525,-1.10128651644151,-0.916518273478179,-1.07419669097338,-1.57160135323283,-1.06945784498706,0.618291089493441,-0.144301779921001,-0.378503231956692,0.749478572625258,1.41828503730016,-9473.46361701254
-0.00639547786134914,0.204857761196856,-0.749295979053787,-1.02932689936782,-1.00107706204977,-0.961013305851353,-0.858753406989043,-1.00214874973053,-1.57571637319064,-1.02191431468714,0.567064649870665,-0.57004882895086,-0.118047717239262,0.691781716978296,1.30777529081594,-9460.44838588123
-0.00621204992811151,0.204889081945487,-0.750030953394654,-0.993253740432447,-0.92946656739857,-0.913057518432708,-0.824023424359048,-0.95975038148493,-1.58758303203583,-0.988852955720612,0.615118664754796,-0.209439925966258,0.0291787102456603,0.661052744905813,1.26848751634246,-9456.42895237767
-0.00613236764837089,0.18626493374429,-0.741758384906726,-0.98815100276036,-0.921454019168742,-0.90123642537324,-0.821863186240122,-0.951545859066061,-1.57862854785763,-0.982591742968583,0.605837229955733,-0.247745061272576,0.404111773786807,0.645673459248884,1.25018077138859,-9456.2265266458
-0.00607863836844196,0.187636656516693,-0.74559774864402,-0.978611088945377,-0.901375720128943,-0.890602155269977,-0.809932450121384,-0.94409591256419,-1.57900795526024,-0.979716784863281,0.633248145795289,-0.152150937520474,0.14494225452822,0.64866655062946,1.24042450829449,-9455.68226883221
-0.00605328425035962,0.181997855072469,-0.741359747548831,-0.981347960839459,-0.907420729915584,-0.888981836714899,-0.813475715536053,-0.94322624404226,-1.57657600803173,-0.976727859811202,0.623533751191649,-0.224065154336523,0.0920083319236922,0.644658230217556,1.23825752376191,-9455.61707730419
-0.00604373779803034,0.179270182725646,-0.739399681924319,-0.983463051802736,-0.909146026706697,-0.890667250171657,-0.815271272199675,-0.944468891230094,-1.57506405233615,-0.975409374237454,0.618860012633783,-0.21210162122964,0.108886034865905,0.645933498354495,1.23908276579333,-9455.60752115117
-0.00603893606115763,0.178730190833905,-0.73923786296443,-0.983537383104658,-0.909338192228409,-0.891289354879426,-0.815614921397525,-0.945368742893218,-1.5747030505576,-0.975075534593841,0.617251861191381,-0.20670071398169,0.110862978243376,0.647849073976551,1.2392316840365,-9455.60617645041
-0.00603868297326303,0.178640255101187,-0.739439811895924,-0.983228270783585,-0.909096350413729,-0.891233642437482,-0.815627687730752,-0.94537504576536,-1.57446852767704,-0.975262894641049,0.617346296224039,-0.206637260732254,0.111229720689124,0.64820684738158,1.23928129252861,-9455.60613925841
-0.0060387899341775,0.17872184190799,-0.739514599348996,-0.983192478511992,-0.90905861723157,-0.8912077392405,-0.815638434078004,-0.945351472042164,-1.57450536524503,-0.97533740404303,0.617393596104865,-0.206834439146706,0.111364922258808,0.648329969668997,1.23933985078923,-9455.60613623444
-0.006038805951953,0.178721045003405,-0.739512691278607,-0.983201724308566,-0.909063106233041,-0.891196028207229,-0.815634134828943,-0.945351203129222,-1.57450095957698,-0.975346384494866,0.617418435514495,-0.206820370975233,0.111131971755726,0.648347957777094,1.23935494906779,-9455.60613604351
